"Data Source","WDI Database Archives",

"Last Updated Date","2019-05-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Congo, Dem. Rep.","COD","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","322000000","667000000","667000000","580000000","406000000","319000000","","","","","","","","",
"Congo","COG","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","231000000","264000000","264000000","297000000","264000000","264000000","165000000","33000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1596000000","1876000000","2184000000","2268000000","1872000000","1978000000","3720000000","4124000000","5423000000","","","","","","","","",
"Colombia","COL","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","31152000000","33858000000","33363000000","32703000000","74415000000","82401000000","91113000000","104874000000","118866000000","130086000000","135069000000","153912000000","184173000000","173250000000","159093000000","151965000000","156519000000","157014000000","139755000000","148467000000","157938000000","163053000000","179685000000","163251000000","183216000000","170818000000","308836000000","349580000000","214146000000","272412000000","280494000000","265822000000","222381000000","227579000000","226749000000","205690000000","171366000000","132963000000","221060000000","162358000000","90805000000","","","","","","","","",
"Comoros","COM","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cape Verde","CPV","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"South Asia (IFC classification)","CSA","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechoslovakia","CSK","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","17423000000","19950000000","20026000000","20767000000","20900000000","23712000000","26448000000","28595000000","33592000000","37297000000","42579000000","50426000000","54587000000","56316000000","56924000000","61522000000","65417000000","65645000000","64581000000","67317000000","70148000000","74917000000","71934000000","76703000000","81206000000","85956000000","94430000000","97641000000","99180000000","103284000000","106628000000","106685000000","121961000000","121562000000","133456000000","130340000000","145274000000","145198000000","146148000000","118460000000","97273000000","","","","","","","","",
"Cuba","CUB","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","2120000000","4780000000","7120000000","3440000000","4260000000","480000000","940000000","900000000","540000000","780000000","1300000000","780000000","1160000000","625000000","710000000","630000000","792000000","462000000","165000000","462000000","1353000000","264000000","330000000","429000000","1892000000","18712000000","26192000000","25212000000","24512000000","32220000000","37420000000","38740000000","44660000000","49860000000","50740000000","47620000000","31766000000","22605000000","","","","","","","","",
