Exajoules (input-equivalent),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.012390000000000002,0.02397,0.06149000000000001,0.10701000000000001,0.11816000000000002,0.12418000000000003,0.12585,0.12132,0.1225,0.12627000000000002,0.12977,0.12229999999999999,0.1285,0.12494000000000001,0.13178,0.13357000000000002,0.1359,0.14653525324675326,0.18496416774193544,0.2537436346153846,0.2565400700636942,0.2394508101265822,0.25063613207547164,0.2502707062499999,0.252316956521739,0.2569625555555554,0.26271132515337403,0.263855963414634,0.2811880363636362,0.28337535542168657,0.2778269281437124,0.24444299999999977,0.21822145562130157,0.2550564,0.26771689473684207,0.2696261007783695,0.26683355428571426,-0.013061049762983168,0.004822170549434901,0.01112672574540178,,
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Estonia,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0.02642105263157895,0.03241052631578947,0.06694736842105264,0.06973684210526315,0.14563157894736842,0.16658947368421054,0.17596842105263158,0.1873578947368421,0.18926315789473686,0.18945263157894737,0.1950947368421052,0.19417894736842103,0.1895789473684211,0.19082105263157895,0.1937578947368421,0.19126315789473686,0.19789473684210526,0.19292631578947367,0.19082105263157895,0.19662105263157892,0.21106315789473687,0.22080000000000002,0.23221052631578942,0.22710526315789473,0.2285472795625427,0.22230250594227502,0.22536941295546556,0.2237698089171974,0.2278823384410392,0.22287658391261164,0.22649234210526303,0.22056908139914996,0.22468631578947348,0.2162749112043912,0.21865349807445425,0.215349818181818,0.2199775206087506,0.21839508351717601,0.21402744360902234,0.21232264092183098,0.2043852631578947,0.20608144044321325,0.21502421354492332,0.20902688721804505,-0.030547434320537525,-0.004385817538248071,0.008716238307120336,,
France,0.008970000000000002,0.013949999999999999,0.02076,0.030850000000000002,0.036,0.05711000000000001,0.09329000000000003,0.14591,0.14751,0.14709999999999998,0.18248000000000003,0.15778,0.17941,0.30452,0.3996,0.61251,1.0532600000000003,1.08919,1.44261,1.9123400000000002,2.241,2.54155,2.6552,2.7552100000000004,3.0393099999999995,3.1408100000000005,3.3134,3.3844499999999997,3.6818800000000005,3.5998100000000006,3.7723100000000005,3.9734000000000003,3.9548300000000003,3.8799,3.9424400000000004,4.151620000000001,4.183417402597403,4.311243870967741,4.325878846153845,4.368208471337578,4.372401075949365,4.332026603773584,4.204918124999998,4.176111242236023,3.869728888888886,4.0223136809815925,4.127156341463412,3.9446738181818155,3.905048493975901,3.9988794610778404,3.9837175371428537,3.6502312867455586,3.585232161,3.694742528421052,3.556940652650553,3.14261354527347,-0.11889809937331841,-0.00839294510410915,0.13104423518116268,,
Germany,0.0011700000000000002,0.00265,0.01225,0.01766,0.049370000000000004,0.06494,0.062160000000000014,0.09522000000000001,0.12106,0.14459,0.24138,0.29533,0.41255000000000003,0.43873,0.52064,0.55589,0.6553300000000002,0.7442600000000001,0.78063,1.0431700000000002,1.3864100000000001,1.30489,1.41725,1.5682,1.61671,1.525,1.474,1.588,1.535,1.512,1.541,1.6161300000000003,1.7032800000000001,1.616,1.7000400000000002,1.69606,1.7019262987012986,1.627150064516129,1.618857692307692,1.6280856687898086,1.5787953797468346,1.6104067924528294,1.3438563749999994,1.41384354037267,1.274357777777777,1.3193293251533735,1.0072925445731702,0.9222654545454538,0.8967090361445775,0.8898644910179634,0.8359110466071421,0.7662131360946739,0.6869195999999999,0.6800447368421053,0.6692134761818926,0.5717284571428571,-0.14800526614289866,-0.062378989905131244,0.023840576424127957,,
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024730000000000002,0.03766,0.0648,0.07424,0.10986000000000001,0.13445,0.13891,0.13731000000000002,0.13726000000000002,0.13964,0.13796000000000003,0.14049,0.14026,0.1418,0.13968,0.13949,0.14096,0.1418,0.14034272727272729,0.13772961290322577,0.10801211538461537,0.11611433121019106,0.13396215189873417,0.12953037735849052,0.14034881249999995,0.14081701863354026,0.1456899999999999,0.14794067484662568,0.14632981573170725,0.14644431163636348,0.14165960313253,0.14336763305389208,0.1442061064285713,0.14534017721893475,0.144878364,0.14076894736842105,0.14519741089717328,0.14260349387755103,-0.020548190450775272,-0.0003386232262965194,0.0059464409225408335,,
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Italy,0.0351,0.038630000000000005,0.031520000000000006,0.025760000000000005,0.016790000000000003,0.031760000000000004,0.03365,0.03626,0.03142,0.0341,0.038000000000000006,0.03807,0.03385,0.04428,0.026280000000000005,0.022080000000000006,0.027069999999999997,0.06804,0.057830000000000006,0.06887,0.07024,0.08758000000000002,0.0017400000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Latvia,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Lithuania,,,,,,,,,,,,,,,,,,,,,0.09479613,0.09881778400000002,0.09183513200000003,0.12811840600000002,0.166522992,0.17033,0.17,0.14637999999999998,0.1226,0.07706000000000002,0.11822000000000002,0.13942,0.12024000000000001,0.13554,0.09862,0.08419,0.11288220779220778,0.13959522580645156,0.15186230769230766,0.1471684585987261,0.10010460759493668,0.08324739622641508,0.09402710624999998,0.09402087577639748,0.10249677777777773,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
