Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Norway,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014276,0.030199000000000004,0.028758,0.038903,0.219796,0.259519,0.5070300000000001,0.636,0.892,0.913,0.977,0.879,1.283,1.548,1.881,2.217,2.515,2.115742,2.854,3.8770000000000002,5.525,9.890451281923454,0.78523587167226,0.18916952748828098,0.00621566572051606,,
Poland,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.002,0.004,0.004,0.005,0.014,0.061,0.124,0.14200000000000002,0.135,0.256,0.522,0.837,1.077,1.6640000000000001,3.205,4.747,6.0040000000000004,7.678,10.858,12.588000000000001,14.909,12.799,15.106759,15.726,0.038146751853607164,0.302253579233694,0.00988302316391634,,
Portugal,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.001,0.0009595959595959597,0.0009595959595959597,0.003838383838383839,0.010555555555555556,0.017,0.016,0.021,0.038,0.089,0.123,0.168,0.256,0.362,0.496,0.8160000000000001,1.7730000000000001,2.9250000000000003,4.037,5.757000000000001,7.577,9.182,9.162,10.26,12.014601112000001,12.111384233,11.607637868,12.474,12.248000000000001,12.617,13.667,12.364,-0.0978108890586834,0.060761113963503144,0.00777017031658792,,
Romania,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.00101010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0.005,0.009000000000000001,0.306,1.387,2.64,4.5200000000000005,4.7236,7.063,6.59,7.407,6.322,6.773000000000001,6.955,0.02406574158564334,0.9393395601217662,0.00437087791587423,,
Slovakia,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.006,0.007,0.006,0.008,0.007,0.006,0.006,0.005,0.006,0.006,0.006,0.006,0.006016438356164383,0.006,0.006,0.006,0.006,-0.002732240437158473,0,0.0000037707070446075313,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0.006,0.006016438356164383,0.005716000000000001,0.006021,0.00615,0.006206999999999998,0.0065107290417163455,0,0.00000390079643764649,,
Spain,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.013000000000000001,0.014,0.015,0.10300000000000001,0.116,0.17500000000000002,0.27,0.364,0.742,1.352,2.744,4.727,6.759,9.342,12.075000000000001,15.700000000000001,21.176000000000002,23.297,27.568,32.946,37.88690304568527,43.68135736040609,42.433,49.47200000000001,55.76712989385,52.01299999999999,49.324999999999996,48.91399999999999,49.127,50.896,53.08907023,53.22096655267732,-0.0002545939151694654,0.03431209031833671,0.033446778916833696,,
Sweden,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0.003,0.005,0.006,0.006,0.006,0.005,0.005,0.006,0.013000000000000001,0.031,0.052000000000000005,0.075,0.105,0.14400000000000002,0.203,0.308,0.358,0.457,0.482,0.608,0.679,0.85,0.9490000000000001,0.987,1.43,1.996,2.485,3.5020000000000002,6.078,7.165,9.842,11.234,16.268,15.479000000000001,17.609,16.623,19.847,28.071377061139014,0.4105244777349648,0.23093989550895366,0.017641489872711857,,
Switzerland,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.003,0.003,0.003,0.004,0.005,0.005,0.006,0.008,0.015,0.016,0.019,0.023,0.037,0.07,0.088,0.09,0.101,0.11,0.109,0.133,0.122,0.146,0.16935999947786334,0.15683059752638906,0.20299134274435904,0.00010643449051765119,,
Turkey,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0.0205,0.0334,0.0624,0.048,0.0614,0.0577,0.059000000000000004,0.1305,0.3511,0.8465,1.4953699999999999,2.91643,4.7238999999999995,5.86075,7.55745,8.52005,11.652469999999997,15.517100000000001,17.9038,19.9492,21.730700000000002,24.76162669754399,0.1363633927941177,0.30687035111555994,0.015561473370728506,,
