Thousand million barrels,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,tt,uu
Azerbaijan,,,,,,,,,,,,1.254,1.254,1.254,1.157,1.157,1.157,1.157,1.157,1.178,1.178,1.178,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0.004040716160093947,,
Kazakhstan,,,,,,,,,,,,5.186999999999999,5.186999999999999,5.186999999999999,5.318,5.318,5.318,5.318,5.4,5.4,5.4,5.4,5.4,8.999999999999998,8.999999999999998,8.999999999999998,8.999999999999998,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0.017317354971831206,,
Russian Federation,,,,,,,,,,,,116.14926500000001,116.14926500000001,115.07668300000002,115.07668300000002,113.60723100000001,113.60723100000001,113.1119934,113.1119934,112.11202259999999,112.11202259999999,111.295177,109.6772506,107.76669899999999,105.46368,104.404815,104.033724,106.42702900000002,106.36616599999999,105.563953,105.80035179999999,105.7094496,105.49158600000001,105.0164164,103.16389199999999,102.37519999999999,106.28289,106.591534,107.2207794,107.80423919999998,107.80423919999998,0,0.0021022089038733593,0.06222947592315334,,
Turkmenistan,,,,,,,,,,,,0.5458,0.5458,0.5458,0.5458,0.5458,0.5458,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0.0003463470994366241,,
USSR,67,63,63,63,63,63,60.99999999999999,59,59,58.5,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,0.2622,0.2622,0.2622,0.2622,0.262,0.5942000000000001,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0,0,0.00034288362844225786,,
Other CIS,,,,,,,,,,,,0.2496,0.2496,0.2496,0.2496,0.2496,0.2496,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.0001443112914319267,,
Total CIS,67,63,63,63,63,63,60.99999999999999,59,59,58.5,58.4,123.64786500000001,123.64786500000001,122.57528300000003,122.60928300000002,121.13963100000001,121.47183100000001,120.9769934,121.0589934,120.08002259999999,120.08002259999999,119.263177,123.4672506,125.15669899999999,122.85368,121.794815,121.477724,144.87102900000002,144.810166,144.00795300000001,144.24435179999998,144.15344960000002,143.93558600000003,143.4604164,141.607892,140.8192,144.72689,145.035534,145.66477940000001,146.24823919999997,146.24823919999997,0,0.001544884022079529,0.08442108907438929,,
Iran,58.29599999999999,57.02,56.148,55.257,58.874,59,92.86,92.86,92.86,92.86,92.85,92.86,92.86,92.86,94.3,93.7,92.6,92.6,93.7,93.1,99.53,99.08,130.69,133.25,132.74,137.49,138.4,136.15,137.62,137.01,151.17,154.58,157.30000000000004,157.8,157.53,158.4,157.2,155.60000000000002,155.60000000000002,157.8,157.8,0,0.014227713267760844,0.09108928715183215,,
Iraq,30,31.999999999999996,59,65.00000000000001,65.00000000000001,65.00000000000001,72,100,100,100,100,100,100,100,100,100,112,112.50000000000001,112.50000000000001,112.50000000000001,112.50000000000001,115,115,115,115,115,115,115,115,115,115,143.1,140.30000000000004,144.211,143.069,142.503,148.76600000000002,147.223,145.019,145.019,145.019,0,0.02346431923842629,0.08371151668866632,,
Kuwait,67.93,67.73000000000002,67.15,67,92.71,92.464,94.522,94.525,94.525,97.12500000000001,97.025,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,99,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,0,0,0.058590384321362245,,
Oman,2.484,2.942,3.4,3.4999999999999996,3.9000000000000004,4.067,4.037000000000001,4.105200000000001,4.142,4.290900000000001,4.353000000000001,4.35,4.74,5,5.1000000000000005,5.2,5.3,5.399,5.400000000000001,5.743999999999999,5.848,5.900000000000001,5.706000000000001,5.572,5.572,5.572,5.572,5.572,5.572,5.5,5.5,5.5,5.5,4.9743,5.151,5.306,5.373,5.373,5.373,5.373,5.373,0,-0.0023334413323666814,0.0031015382754549688,,
Qatar,3.585,3.45,3.425,3.33,4.5,4.5,4.5,4.5,4.5,4.5,2.993,2.993,3.121,3.121,3.5,3.7,3.7,12.5,13.4855,13.102799999999998,16.8667,16.836100000000002,27.5956,27.0157,26.86482,27.910200000000003,27.4362,27.323,26.833,25.907,24.683999999999997,23.900000000000002,25.229000000000003,25.063000000000002,25.705,25.243999999999996,25.243999999999996,25.243999999999996,25.243999999999996,25.243999999999996,25.243999999999996,0,-0.002589112325784848,0.01457197696363023,,
Saudi Arabia,168.03,167.85,165.484,168.848,171.71,171.49,169.744,169.58500000000004,254.989,260.05000000000007,260.34200000000004,260.93600000000004,261.203,261.355,261.374,261.45,261.444,261.541,261.542,262.784,262.766,262.69700000000006,262.79,262.7300000000001,264.31,264.211,264.251,264.20899999999995,264.063,264.59000000000003,264.516,265.405,265.85,265.789,266.578,266.455,266.208,295.958,297.671,297.578,297.527,-0.00017138363723123717,0.011818788153708182,0.17174602242346743,,
Syria,1.452028,1.89,1.75,1.46,1.3975,1.54,1.62,1.72,1.8,2,1.8799999999999997,3,3,2.95,2.65,2.5584000000000002,2.45,2.3449999999999998,2.3,2.3,2.325,2.325,2.28,2.3949999999999996,3.159,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0.001443112914319267,,
United Arab Emirates,30.41,32.17600000000001,32.354,32.34,32.49,32.99000000000001,97.20299999999999,98.105,98.105,98.105,98.1,98.1,98.1,98.1,98.1,98.1,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,0,0,0.05645457720816972,,
Yemen,0,0,0,0,0,0.5000000000000001,0.5000000000000001,1.0499999999999998,2.0000000000000004,2.0000000000000004,2.0000000000000004,2.0100000000000007,2.0100000000000007,1.986,1.986,1.986,1.986,1.829,1.85,1.85,2.4,2.4,2.855,2.8499999999999996,3,2.9207,2.78,2.6700000000000004,2.6700000000000004,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0.0017317354971831205,,
Other Middle East,0.224059,0.207147,0.191022,0.1858,0.17375,0.18070999999999998,0.14169999999999996,0.1267,0.113619,0.098483,0.0714,0.071289,0.059418,0.060351,0.052195,0.113907,0.21529,0.21433,0.16423,0.15291000000000002,0.15287000000000003,0.12929,0.12925999999999999,0.12933999999999998,0.12755999999999998,0.12755999999999998,0.12751999999999997,0.12749999999999997,0.12749999999999997,0.3090399999999999,0.27694,0.6518000000000002,0.27930000000000005,0.260685,0.239253,0.21705299999999997,0.14691005,0.13523000000000002,0.15672999999999998,0.19443000000000002,0.17869100000000002,-0.08094944195854548,-0.04528255532056957,0.00010314851590904968,,
