Thousand barrels of oil equivalent per day,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,jj,kk
Other Europe,0,0,0.03195925157167838,0.06872935242122562,0.13119111931405003,0.29683346295151886,0.41001634491900957,0.6037815987000413,0.657003744761632,0.8234971451530387,1.1179385174404755,1.39307492702827,1.2296882124279955,1.167659204928066,0.6107968472104386,0.40404683507437866,3.136804148591844,7.7397923777889925,15.540567558369307,19.230672839505456,22.28528326102627,25.995484854971192,30.644000216861873,37.72564675547362,36.13906650172902,37.0133539949985,42.90032333464381,49.54808379137988,52.03064369743208,60.974743550104165,61.4548174377689,0.007873323604391302,0.12231702315638215,0.03659604408581667,,
Total Europe ,0.11891504013999245,0.13198894141340298,0.37675857232290316,0.9028725209911145,2.475824407122684,3.888913643637485,5.711843317597495,7.8291406306855125,7.277065874742728,8.192537169050759,12.759948262234726,14.845682773321386,19.59553742908323,24.82563049481779,32.92080620448913,57.48399268542223,89.65810183014119,124.76756404771436,170.79367078444338,202.6948499117866,240.65676338915972,255.29291147185663,276.11832383979043,253.21048088916024,268.9859852473043,271.4452042699365,275.9012283880684,297.75191399137196,322.76412069860095,335.58330129548614,339.04008366601994,0.010300817582964417,0.05170941743315938,0.20189671641714488,,
Total CIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13216217618840295,0.3810072599842384,0.629490255626133,0.5135315243265822,0.5451689767771623,0.4307038591126174,0.45927828128534837,0.36145915630006975,0.9612163494750758,1.5992562041682192,2.2085460537125985,2.763979802923334,3.1124831534166253,0.12608751703782173,0.21915847330989702,0.0018534685391286027,,
Total Middle East,0,0,0,0,0,0,0,0,0,0,0,0,0.2572851057707918,0.2668141837623026,0.27558822551951334,0.295401417736835,0.16199432585568369,0.1429361698726621,0.15204867614869702,0.16199432585568369,0.18187693766653082,0.21494636405593018,0.2036124685388917,0.1526897529416529,0.16245410386877412,0.1774064660175935,0.1585060883943096,0.14823367020048273,0.10117870191528268,0.10292566778346637,0.07571073767979182,-0.2644134421447617,-0.04434224351438831,0.000045085375067708485,,
Total Africa,0,0,0,0,0,0,0,0,0,0,0,0,0.7912184037911254,0.8724919099807212,1.023506160452695,0.39147358204724697,0.11653109475818565,1.263203165788647,0.9447466508743314,0.5364081665680596,0.31579266224558256,0.8374368683308293,0.9512630534885937,0.9606669049170473,0.7924960271858834,0.9791134905716311,0.864557295914799,0.8799532458170041,1.381951496142828,1.2525584004612824,1.2408763549852972,-0.00932654754595319,0.08850457889349772,0.0007389358179783744,,
Australia,0,0,0,0,0,0,0,0,0,0,0.9998435852270536,1.2159198807947706,1.2282028623258279,1.1434893589812969,0.8552738033364207,0.9529077991510809,1.473495833428411,2.11302572457378,2.724926068537193,2.532636066970972,3.5732077106567486,4.290358399722637,4.135871848429117,5.035010749450304,5.789149917227569,4.23560306477845,3.671796551736078,3.2707438533338347,2.706712170038195,2.5167629046498856,2.576493326466449,0.023733034886284976,-0.000628519388656934,0.0015342892110558966,,
China,0,0,0,0,0,0,0,0,0,0,0,0,2.7399018811009808,7.562129191838706,9.510784671279021,13.395726594757585,19.366785821983605,20.914633945182544,26.698843372574125,31.84519190923478,31.695101979734655,35.07867448174434,40.9566253594871,50.16154709217444,59.05639137083219,43.76698936399079,44.41650891837398,41.54077926562482,53.954493205605715,60.946025241381,55.99423123067048,-0.08124884257994835,0.0670632223714378,0.03334429162927839,,
India,0,0,0,0,0,0,0,0,0,0,0,0,13.784059070748162,12.83801220775097,13.949221138106983,13.451827766574139,14.289185966000158,15.980368611621532,16.657274581611095,14.246309240369325,17.703379556975296,20.151747887865938,19.41778137037647,19.4199024671664,21.89545107530363,23.248058886257013,27.82858684356931,24.557919386915337,32.902806625469594,37.9147291143381,39.111994407665726,0.0315778411528953,0.10283504681399003,0.023291001931241184,,
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,1.0847425931636325,1.2909137245879605,1.2911213335166607,1.6502683946670216,1.468325198009404,1.9179440576531317,1.8965161115253668,3.458418297616957,4.793598726272964,6.674133959279894,11.316182373607704,16.546043173279607,28.206072042159413,14.976010500435756,45.522783887768824,39.22342485464484,56.48793709224724,95.55641915021663,97.96007571284984,0.02515431808777402,0.39360031121816497,0.0583347473624444,,
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10281592216083887,0.25118326707129174,0.9991095623059589,1.79389840736736,3.3200195955936334,4.764984066382266,6.6882231112714114,6.300201198706056,6.7279000701247105,10.2778944279992,8.504615542555602,8.349031877130846,8.279485804551916,8.024743032329852,12.806597616649743,13.115890445506183,12.99406318072711,-0.0092885241215791,0.10655659979744003,0.0077379012556227115,,
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05983017435556081,1.7412492742572683,3.2189182426867715,2.657986405884811,9.815186450609502,13.24671196120513,13.780000342857313,13.667577754420112,17.854978631239383,24.185508743149065,28.29716648040679,30.336030176445583,30.892528331149812,34.25225201125762,37.46961086584999,41.835609185083946,41.73825240635088,-0.0023271270725938598,0.12187326968235546,0.024854925761914594,,
Other Asia Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0.06801352510359195,0.5321413574085586,0.47961456057256463,0.3726500112986758,0.5488606396671285,3.2469098623013233,2.969768167115493,5.228137531169708,8.244599783599647,10.302204833391482,13.127864322132105,16.27546897101841,18.838021044962918,22.204754802617508,23.803026806541258,24.695441532441286,26.215788760565108,26.995109794794093,24.040580815148,-0.10944682211353196,0.17840291856569657,0.014316048636068248,,
Total Asia Pacific,0,0,0,0,0,0,0,0,0,0,0.9998435852270536,1.2159198807947706,18.904919932442194,23.366685840567488,26.24866160332805,31.81581310777706,41.364681264081426,48.62476701458448,64.08253434756642,75.32238907294915,86.47811121136805,96.46489851513046,113.53720397539658,141.9013756242374,170.58686747344814,147.11647867165595,184.41471714369118,175.5653039365476,222.5439463364256,278.88054583596994,274.4156910798785,-0.016009918306447712,0.139854487454395,0.16341320578762544,,
Total World,162.6861357907141,171.89751822046253,168.22649450414283,175.90182121392502,190.05514308379102,200.00706728693916,191.59348832185444,199.9631192285937,203.86638562837268,206.82192063220023,202.750390836882,197.29372921713534,245.13753535355835,276.8976375448407,325.85678812265394,387.8541977883452,480.44915125518065,630.8221046317472,848.1771971312859,967.1416315292154,1112.339636549949,1168.4017734182873,1206.4108422292354,1296.6171487474855,1381.943823130118,1438.1360410091775,1495.2881031951108,1537.7015991328194,1657.5034873087575,1771.6512758691078,1679.2748771877946,-0.0521414117662613,0.062401845165786396,1,,
