Million tonnes of carbon dioxide,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,yy,zz
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4554222120498705,0.4791548560392449,0.4652982769287699,0.4747510866524958,0.3153052205312964,0.3220220648360884,0.23835761362497782,0.21015576068006053,-0.12072636814372628,,0.0006993711782030701,,
United Kingdom,6.0451676999999915,6.242078699999991,6.41929859999999,8.506555199999989,13.015817099999984,8.506555199999989,8.28995309999999,7.974895499999988,7.482617999999989,6.7146650999999915,5.139377099999992,4.213895399999994,4.1745131999999945,4.410806399999994,4.686481799999993,5.139377099999992,4.7258639999999925,4.903083899999994,4.784937299999994,6.281460899999991,4.509261899999994,4.784937299999994,3.9972932999999937,3.9382199999999945,4.135130999999994,3.4262513999999946,3.347486999999995,3.229340399999995,2.933973899999996,3.130884899999996,3.209649299999995,3.032429399999996,1.3783769999999977,1.3783769999999977,1.3783769999999977,1.4374502999999978,1.2405392999999982,2.3629319999999963,2.7624030689575556,2.7438737159835824,2.7301070910196272,2.813543959077151,2.7593614667483157,2.4885178692160497,2.370527080484368,2.230288089502252,-0.061730015865023136,0.05571742627067344,0.007422110171236706,,
Other Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8955558137790519,0.9971652672317513,0.9276612601646143,0.8594442243421864,0.6343270799253153,0.7419195236723805,0.8785137483333563,0.8090881789301235,-0.08154248351700222,,0.0026925407666078065,,
Total Europe,11.814659999999984,11.913115499999982,7.108487099999989,8.939759399999987,13.724696699999983,9.609256799999986,8.762539499999988,8.742848399999987,8.408099699999987,7.44323579999999,5.907329999999991,5.139377099999993,5.454434699999993,5.493816899999993,8.211188699999989,6.24207869999999,5.631654599999991,5.9664032999999925,5.8679477999999925,7.423544699999989,5.631654599999992,5.986094399999992,5.296905899999992,5.218141499999993,6.2420786999999915,5.296905899999992,5.001539399999993,4.844010599999993,4.627408499999993,4.863701699999993,4.784937299999992,4.588026299999994,2.914282799999995,2.638607399999996,2.540151899999996,2.796136199999996,2.677989599999996,3.839764499999994,5.555297358071317,5.610783146058704,5.488017077454321,5.693608781069274,4.668047244458162,4.474293025176673,4.22224210587266,3.9407747839714276,-0.06921310024199423,0.052127432913175564,0.013114388560087377,,
Azerbaijan,,,,,,,,,,,,,,,,25.401518999999965,23.629319999999964,21.66020999999997,17.13125699999997,15.221220299999981,14.37450299999998,14.23666529999998,14.09882759999998,14.079136499999981,13.98068099999998,13.586858999999983,13.586858999999983,13.38994799999998,6.49806299999999,6.49806299999999,7.482617999999989,4.332041999999994,4.922774999999993,4.922774999999993,2.9536649999999955,2.5598429999999963,2.166020999999997,1.2799214999999982,0.9051763026261298,0.6629554880772747,0.4307732016198967,0.4562148831139574,0.366202498648598,0.4889706005621337,0.5477565953403234,0.3177024791370406,-0.4215780471256465,-0.15506628897386898,0.001057272741099739,,
Kazakhstan,,,,,,,,,,,,,,,,1.9691099999999973,1.9691099999999973,0.7876439999999989,0.5907329999999991,0.8860994999999988,1.3783769999999977,1.2799214999999982,0.9845549999999986,1.9691099999999973,2.166020999999997,2.3826230999999964,2.166020999999997,1.3783769999999977,0.7876439999999989,3.1505759999999956,4.922774999999993,6.104240999999991,6.104240999999991,4.922774999999993,4.922774999999993,3.7413089999999944,4.922774999999993,5.040921599999993,7.389646272488547,7.75594706158158,7.255651859020825,5.2989999095351985,4.821105975941377,4.074718299074582,3.1248420869837275,2.937927900661755,-0.0623843721721582,-0.0444315353156417,0.009777043896929127,,
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.845549999999985,10.830104999999985,27.567539999999962,29.438194499999952,30.718115999999952,33.27795899999995,39.38219999999994,38.39764499999995,34.459424999999946,35.24706899999995,35.99533079999995,42.29965201979985,39.419618748472054,42.54218964305414,48.24868788919432,42.339361997379235,42.8589843216824,48.04779896224507,50.627481834611665,0.050810993885171074,0.022673237236505273,0.16848170854583824,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19691099999999973,0.19691099999999973,2.166020999999997,0.9845549999999986,0.7876439999999989,0.9845549999999986,1.4768324999999978,4.5164192403360035,3.9903745268961424,3.6672411667512574,3.6436126373647735,3.303707427939749,2.987015153834142,2.74702814886398,3.3478657922570143,0.2153929399456429,0.10805753854678457,0.011141264155785256,,
USSR,30.915026999999956,34.26251399999994,37.41308999999994,33.47486999999995,29.536649999999955,25.598429999999965,26.09070749999996,27.567539999999962,29.536649999999955,31.505759999999956,35.83780199999994,41.35130999999994,40.16984399999994,39.38219999999994,38.39764499999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5752879999999978,2.962425792274253,2.561091619095185,2.187273175922324,2.0552895256557275,1.676808852983292,1.560693623112931,1.2301482923646145,1.0864649962784538,-0.11921471630111613,,0.0036156149232589173,,
Other CIS,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1635296288498097,0.14033044383621412,0.13632825240681146,0.12490333339193613,0.11663801255936873,0.15036602119217574,0.17782346788700268,0.11226523829478366,-0.37039523522187145,,0.000373604186358717,,
Total CIS,30.915026999999956,34.26251399999994,37.41308999999994,33.47486999999995,29.536649999999955,25.598429999999965,26.09070749999996,27.567539999999962,29.536649999999955,31.505759999999956,35.83780199999994,41.35130999999994,40.16984399999994,39.38219999999994,38.39764499999995,27.370628999999962,25.59842999999996,22.44785399999997,17.72198999999997,16.10731979999998,15.752879999999976,15.51658679999998,15.083382599999979,16.04824649999998,16.146701999999976,15.96948209999998,15.75287999999998,24.613874999999965,18.115811999999977,37.21617899999995,41.843587499999934,41.35130999999994,44.501885999999935,51.39377099999993,47.258639999999936,41.54822099999994,43.320419999999935,45.36829439999994,58.2368492563746,54.53031788795845,56.219457298775254,59.82770817825592,52.62382476545162,52.12074801945837,55.87539755368472,58.429708241240704,0.04285726421305758,0.01688991600664047,0.19444650844926994,,
