Exajoules,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,Total,Oil_2,Natural Gas_2,Coal_2,Nuclear energy_2,Hydro electric_2,Renew- ables_2,Total_2,p,q
Romania,0.44551299340944894,0.38666865500000014,0.20801165396400004,0.10055419909873002,0.13889424045882834,0.09621738870954527,1.3758591306405525,0.4383302339202511,0.4074278314357702,0.15232270702932943,0.1018368,0.13400061696351215,0.09718592890947053,1.3311041182583334,,
Spain,2.6954231210078268,1.2950810726400002,0.15666723500530189,0.5195049738330192,0.20044942320688242,0.728326460856544,5.595452286549575,2.205669098115437,1.1668832934010382,0.07279555802785899,0.5169705792119011,0.2442061824407453,0.7657331587986163,4.972257869995596,,
Sweden,0.5916549067480621,0.0367263,0.08227070373600001,0.5895079065956574,0.581279934453093,0.36035911962026407,2.2417988711530765,0.5450533810038944,0.03808193755200119,0.07484440991749886,0.47810403677491287,0.6514094535803852,0.4119220810456486,2.199415299874341,,
Switzerland,0.44415220126385185,0.12261000000000001,0.00381,0.2253555100368701,0.3354834761624334,0.0448056391705039,1.1762168266336592,0.36939444435211455,0.11631011784550001,0.00381,0.20418873469387752,0.3347839858418367,0.04942790031761242,1.077915183050941,,
Turkey,2.0062501360463276,1.5610084200000003,1.7550952312597778,0,0.7918001343711593,0.39271123810878356,6.506865159786049,1.8218278471856553,1.6691926727896198,1.6586748314919877,0,0.6933306768743865,0.4466656041473266,6.289691632488975,,
Ukraine,0.4752638513082484,1.018716814159292,1.0767703681999998,0.7399175551003686,0.05801745514133553,0.050651767535288314,3.419337811444533,0.4519047409494277,1.0561946902654868,0.9839276788422073,0.6768026122448978,0.05570992743402219,0.08935847323413965,3.3138981229701816,,
United Kingdom,3.082758749345259,2.782919421066459,0.21754487196000002,0.5008448928546431,0.052905058582548126,1.0900704863886617,7.727043480197571,2.385954273811118,2.609836903866459,0.19356888572941436,0.4465533910204082,0.05754232163265306,1.2010743561497024,6.894530132209754,,
Other Europe,2.5945541607984715,1.0782266160964957,1.3355452418025149,0.3357026718885703,0.6049907971302972,0.5778711966481087,6.526890684364461,2.2765645814119373,1.0670451958103884,1.0987676200494187,0.33878797777924463,0.585050762133414,0.6001205545809368,5.966336691765339,,
Total Europe,30.273686602919057,19.925066570738892,11.134261944317718,8.290228421502558,5.597642009227129,8.23721127408533,83.4580968227907,26.072845779877017,19.47950014763936,9.397988692504267,7.437458697497478,5.82049065011025,8.939396520364197,77.14768048799257,,
Azerbaijan,0.20768989049235012,0.4244124825000001,0.000025800000000000004,0,0.013949220811142972,0.002206754608766899,0.64828414841226,0.1820594349198914,0.42817265971199997,0.000025800000000000004,0,0.009485583673469387,0.002136195685731265,0.621879673991092,,
Belarus,0.30043789620769584,0.6899219823008848,0.05568444,0,0.0031289471528062273,0.0045229386495939635,1.0536962043109808,0.2756455592869972,0.6431419503723118,0.05547247276902537,0,0.0031382439269995203,0.004724819665511057,0.982123046020845,,
Kazakhstan,0.7622540197685262,0.626654022800368,1.661803924991063,0,0.08908726566489142,0.009836740378533387,3.1496359736033823,0.7521598848594162,0.5981953309379242,1.6357290882677569,0,0.08700403800593239,0.03297656272999277,3.106064904801023,,
Russian Federation,6.7162151096268925,15.99525796460177,3.5667349200000005,1.862977541663253,1.7327426490782465,0.02193979177386317,29.89586797674403,6.388477935038459,14.810011003346652,3.273941504975147,1.917671319510204,1.8867986755918367,0.037694789355102044,28.314595227817403,,
Turkmenistan,0.2912795892407094,1.135174864646864,0,0,0.000028115952478492424,0.00006204408029496107,1.4265446139203468,0.27657491328913886,1.1268000000000002,0,0,0.000028012669387755104,0.00006181616326530612,1.403464742121792,,
Uzbekistan,0.18807924752524388,1.5995931619469013,0.07528627832486672,0,0.05774363296609798,0.00013817287996722652,1.9208404936430772,0.16289158740698803,1.549209015814088,0.09995186274907698,0,0.06045710027681968,0.00013766530612244898,1.8726472315530953,,
Other CIS,0.1783567326356925,0.19989798859469088,0.08570111159827647,0.019592022941417455,0.318246017206063,0.001325958213846784,0.8031198311899871,0.15571981346094368,0.2199237307266464,0.1098703168261157,0.01864743547718054,0.3119316709676633,0.0012958651517805942,0.8173888326103301,,
Total CIS,8.644312485497109,20.670912467391478,5.445236474914206,1.8825695646046705,2.2149258488317267,0.0400324005848664,38.897989241824064,8.193529128261835,19.375453690909623,5.174991045587122,1.9363187549873846,2.3588433251121086,0.07902771405750549,37.118163658915584,,
Iran,3.5311984896607034,8.044037317602784,0.07440051455260914,0.057146822295798316,0.2581881662644419,0.008344510978333068,11.97331582135467,3.3111094359037003,8.39167648502691,0.07440051455260915,0.05620180662428906,0.18803752217732742,0.008654566024925734,12.030080330309762,,
Iraq,1.4684177754840704,0.7017243892536242,0,0,0.022087951102007373,0.003356664973371569,2.195586780813074,1.2888980495484381,0.748691485369116,0,0,0.021855051232653064,0.003344334367346939,2.0627889205175545,,
Israel,0.5026840727954782,0.38778750000000006,0.20843581867199992,0,0,0.029635753129588195,1.1285431445970664,0.42285375669278735,0.40674600000000005,0.16758251629666357,0,0,0.050557900590506064,1.047740173579957,,
Kuwait,0.8299621742756528,0.8295631426199048,0.00726980788445733,0,0,0.0015220056100862683,1.6683171303901012,0.7609428556334862,0.7432272951877525,0.0012917285538938115,0,0,0.0015164145690696248,1.5069782939442022,,
Oman,0.48351196742811636,0.899875716898694,0.0070998848479528155,0,0,0.00014758026708769343,1.3906351494418507,0.4218148237918321,0.9326276467234242,0.013573437562015737,0,0,0.0018301669193580635,1.3698460749966301,,
Qatar,0.6031163536427195,1.3208078798970382,0,0,0,0.0010983228512904547,1.9250225563910481,0.45136474890519424,1.2593499935204693,0,0,0,0.0010942881959183674,1.7118090306215819,,
Saudi Arabia,6.665647547543569,4.0014,0.004491033958539922,0,0,0.009252732350857681,10.680791313852966,6.511209693522857,4.035602087294056,0.004491033958539922,0,0,0.009218742721813715,10.560521557497268,,
