"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bhutan","BTN","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Central African Republic","CAF","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","3.50447544970077","3.72696127325556","3.68144945025476","3.54603661720639","3.17090909090909","4.06581387607589","4.07361019828623","3.93487992525266","4.25089887702697","3.04107990830195","3.04087594028027","3.14470795598491","3.73587619399741","5.99783028054547","4.61174893744599","5.59657860545691","4.46247736570317","3.8444100786893","2.9281991910343","3.04753418172705","2.46250783598283","2.22045792142601","2.33148917384581","2.15629061128411","1.40042561955104","1.48352175163649","1.46986624772134","1.24111331431059","1.86462859650718","2.97014835725869","2.00273420725623","1.69570527533085","2.52210833033815","2.87511956956835","2.77807271542796","3.78389478665369","3.20563280965006","3.62674337517434","4.60981858776567","4.7348193697156","5.52711708795963","6.10074943199159","5.62830403986972","5.60604672779887","5.7276220482942","6.40168631672586","7.31073102400964","6.73166712004721","6.83008739194703","7.38954637534959","8.61281497575581","9.69383425372689","10.2203562077182","9.80285458740765","9.60351249071878","10.0159525300414","","","","","",
"Central Europe and the Baltics","CEB","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","11.55351989339","10.6500456424436","10.3304635472941","9.63068865197821","10.0417302742745","10.2993809434693","8.86726366839359","8.14785907232559","7.96542842685032","9.93425678322713","12.2928628984326","12.5135156412154","11.5600059162915","10.8857681535712","9.42005657564654","9.34253557008297","8.44953836738917","8.84051558820132","8.93057897063448","10.072212976052","9.80265908118991","8.17028915817144","7.59496596892256","7.55206458579729","7.22136741439856","7.7094289496054","5.92689783543138","6.31529066624757","6.63967729677589","6.7756330452079","6.93649141072358","7.78535881651114","8.06591157624759","8.30006112548933","8.53715388102251","9.00782987153952","9.38939971404972","8.89123895073016","7.66694746684426","8.25779326443852","8.51630771167504","8.41428258413208","7.40056521167414","6.19820021673234","7.10130835653038","","","","","",
"Switzerland","CHE","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.527810650887574","0.881997140657649","0.610275038920602","0.408997955010225","0.451359792793479","0.4674777277517","0.452023004742206","0.383528098384861","0.396172688845263","0.454120248320435","0.440698414826234","0.49117192878007","0.600087285423334","0.722523029322832","0.840307312388531","0.906999671376931","0.959951085295017","1.15987662254209","1.55197240937939","1.37437088656601","1.30810220852594","1.2668734437115","1.29604984574436","1.19057671198176","1.35797754525319","1.41437308868502","1.47811790495577","1.50547682084826","1.26335779580276","1.11530877948193","1.08896712214333","1.06639869212425","1.55634954278447","1.53924437094517","1.34869386557088","1.11903376018626","0.743202761690109","1.00155831580858","","","","","",
"Channel Islands","CHI","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","1.11450023463163","1.01858070293262","1.11795573807894","1.0863719479402","1.0879523591388","0.980920556214293","1.06382978723404","1.1003861003861","1.11370576612179","1.30201684962982","1.52780096844214","1.64265857973212","1.48922686945501","1.54849225753871","1.53846153846154","1.61421595225176","1.54121634584639","1.5193615134496","1.36993992476559","1.0232963204877","0.981914733730775","0.863032687922014","1.19985001874766","1.18684970526566","1.0775323794912","0.998926235642469","3.01528666246208","14.3879016587344","19.8567335243553","26.0716602624882","31.3677082598575","29.5917199056582","35.3968694612313","32.4910170285893","25.9126590961055","20.6760665220535","7.9133124818404","3.66474608066461","6.47211883666546","17.6887182711719","20.877147596366","18.4212412725266","15.2672278108534","14.2693457787217","15.06493161951","","","","","",
"China","CHN","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0.228852742573928","0.182688265916513","0.2130126953125","0.182107898930116","0.24086488778187","0.236674864252843","0.376615576268547","0.550405212460032","0.376552154215807","0.634223081000667","0.446023294294894","0.358457849105331","0.327157522302277","0.372614948252562","0.339780984546106","0.297545227072945","0.261793675479523","0.711073626977308","0.521798715203426","0.388168013116901","0.42581973803198","0.333164747739456","0.253541970445494","0.269788643756002","0.338551995868395","0.485589486119787","0.831101964651212","1.03318615755426","0.996947091083977","1.53935561219587","1.85988100649861","2.0390613027675","1.98157092497651","1.96121927679729","2.02100518113681","2.48703063811759","","","","","",
"Cote d'Ivoire","CIV","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.47913131998643","36.34131368938","43.8600843463161","54.027846842367","58.6257006435541","62.9791666666667","62.8863868986694","67.0948243294295","63.8686848830352","66.1887477313975","72.6456609751804","71.0344827586207","65.7254484105843","65.0862068965517","62.2721853176631","70.2933780385582","69.3228398098049","67.4600912200684","75.4509803921569","69.9372435433261","78.0507404431179","","","","","",
